종목코드,종목명,종가,대비,등락률,상장시가총액
80,하이트진로,33400,-300,-0.89,2342463
11210,현대위아,82000,-1000,-1.2,2229997
20560,아시아나항공,27800,-1350,-4.63,2068647
6260,LS,66100,-200,-0.3,2128420
1450,현대해상,25000,150,0.6,2235000
1440,대한전선,2525,-55,-2.13,2162594
17800,현대엘리베이,48800,1650,3.5,1991781
52690,한전기술,48750,-1450,-2.89,1863225
10120,LS ELECTRIC,67600,-800,-1.17,2028000
111770,영원무역,44700,-100,-0.22,1980723
3090,대웅,34300,-650,-1.86,1994270
69960,현대백화점,82400,800,0.98,1928361
294870,HDC현대산업개발,28000,-50,-0.18,1845405
14820,동원시스템즈,65800,300,0.46,1685698
51600,한전KPS,38250,-700,-1.8,1721250
69620,대웅제약,151500,-1500,-0.98,1755366
7310,오뚜기,502000,-3000,-0.59,1843334
93370,후성,19400,200,1.04,1796572
1230,동국제강,18700,-300,-1.58,1784592
4370,농심,289500,500,0.17,1760925
73240,금호타이어,5820,20,0.34,1671855
192820,코스맥스,133500,-1000,-0.74,1515159
150,두산,97000,-3500,-3.48,1602812
210,DL,70500,-400,-0.56,1477390
10780,아이에스동서,48650,-1050,-2.11,1502925
5250,녹십자홀딩스,31950,-800,-2.44,1502551
6650,대한유화,231500,-2500,-1.07,1504750
7700,F&F홀딩스,38550,1450,3.91,1507859
240,한국앤컴퍼니,16300,100,0.62,1547444
185750,종근당,121500,-1000,-0.82,1388271
16380,KG동부제철,13850,-250,-1.77,1385123
31430,신세계인터내셔날,196000,-2500,-1.26,1399440
32350,롯데관광개발,21000,-100,-0.47,1454789
5300,롯데칠성,149000,0,0,1382554
1740,SK네트웍스,5300,0,0,1315395
3000,부광약품,20450,-350,-1.68,1453239
3240,태광산업,1144000,-27000,-2.31,1273730
670,영풍,696000,-3000,-0.43,1282060
192080,더블유게임즈,62500,500,0.81,1148406
214320,이노션,58900,-400,-0.67,1178000
241590,화승엔터프라이즈,17750,-700,-3.79,1075132
13890,지누스,76800,-1700,-2.17,1213475
69260,휴켐스,27750,-100,-0.36,1134381
9420,한올바이오파마,22250,-450,-1.98,1162354
79550,LIG넥스원,52000,-200,-0.38,1144000
1120,LX인터내셔널,28950,-300,-1.03,1122102
3850,보령제약,16350,-100,-0.61,1123082
4490,세방전지,85400,-1800,-2.06,1195600
79160,CJ CGV,31300,-250,-0.79,1162323
70,삼양홀딩스,118500,-1500,-1.25,1014866
1800,오리온홀딩스,16900,-300,-1.74,1058708
3520,영진약품,5200,-110,-2.07,951042
5440,현대그린푸드,9580,-80,-0.83,936009
6120,SK디스커버리,48900,-750,-1.51,930951
20000,한섬,41650,1350,3.35,1025840
103140,풍산,34700,-50,-0.14,972442
105630,한세실업,22750,-450,-1.94,910000
114090,GKL,16150,-100,-0.62,998969
161890,한국콜마,45950,-200,-0.43,1051390
284740,쿠쿠홈시스,41600,-100,-0.24,933393
1680,대상,24500,-150,-0.61,848877
2350,넥센타이어,8070,40,0.5,788180
49770,동원F&B,204000,500,0.25,787261
192400,쿠쿠홀딩스,22650,50,0.22,805483
6040,동원산업,232000,-500,-0.22,853213
42670,두산인프라코어,9770,-220,-2.2,776937
383800,LX홀딩스,9850,-20,-0.2,751365
57050,현대홈쇼핑,72400,0,0,868800
64960,SNT모티브,52000,-600,-1.14,760403
71840,롯데하이마트,30200,-150,-0.49,712953
108670,LX하우시스,82600,-1500,-1.78,740730
7570,일양약품,32000,-350,-1.08,610741
3230,삼양식품,81600,200,0.25,614694
